document	label
i felt better with this one since it had the shuffle feature and i 'm not too keen on www . ipod's dirty secret . com .	1
the setup was a breeze , i had some reservations about a wireless network ( see my review for linksys wet11 ) but this item was on sale as well as the wet11 so i just had to splurge .	1
no need to pay for the special refills that the other brands require ! .	1
well surely this is a product that i recommend someone in getting rather than any other mp3 player ( at that size and the price ) .	1
creative did an awesome job with the design .	1
have used it frequently and have had no problems .	1
loading cds was somewhat time-consuming , but i think it would have been with the ipod as well .	0
it may not top the ipod mini , but it 's definitely an alternative if you also want the extra features and good sound quality .	1
their customer ( www . apex digital inc . com ) service is very poor .	0
i didnt get ipod because i dont especially like itunes ( no music i want , but thats just me ) and the creative product was cheaper ; . and i needed to be able to use wma files .	1
the memory will hold an amazing amount of songs , my entire collection of cd 's will all fit on this great little tiny piece of digital fun .	1
the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .	1
the canon g3 is perhaps the best 4mp camera out there .	1
it is small , unlike my canon slr , so it easily fits in my pocket .	1
as for itunes , i don 't find it to be as good as the windows media player as a computer mp3 player , but it is good enough .	1
if you strictly use the lcd and not the view finder , i highly recommend the camera .	1
and so far , i 've been very pleased .	1
i did not have any of the installation problems that people highlighted here .	1
i tried to make sense of the file transfer program and just got more confused .	0
- no voice activated dialing ( what were they thinking	0
i use the regular kitchen trash bags and it is so easy to empty .	1
as any digital camera owner knows is that when you go to take a picture of a moving object to expect some blurring but with some preliminary testing we had simone move there hands back and forth under the lense and another person take the picture and suprisingly a crystal clear image appeared on the decently sized screen .	1
it would work fine for a while then as the motor warmed up it would die .	0
the music is easy to get to ( all of the menus are easy to understand despite what alot of i-pod owners say ) and if you know how to search for an artist by name online , then you can do the same with the zen .	1
also , very light and portable .	1
white earbuds ( i replaced those with some shire headphones , big difference ) , a case , a stand , a clip ( which doesn 't really work ) , and a nice little zen micro bag .	1
another 5 star performance .	1
all-in-all , i believe this is arguably the best non-slr digital camera on the market .	1
the battery has a long life .	1
the program brings more problems than a virus , albeit not as major problems , just not what you expect for 70 bucks .	0
another point of note : the battery life is incredible ! .	1
its compact and has rounded edges .	1
flash - as with all built-in flashes in small cameras , you get over illuminated main subjects with depth being lost .	0
i like the speed control .	1
the bags attach inside the champ easily and all one has to do is cram the diaper down and flip the handle .	1
in noisy environment , it 's hard to hear from the earpiece .	0
the price is $ . . . more .	0
the karma is only $5 more , it 's small , had a 20 gig drive and supports more formats including gog .	0
i expected the 12x digital zoom to be grainy , but on full size high to fine quality , the zoomed images are quite impressive .	1
the sound level is also not as high as i would have expected .	0
but those 2 come up every time .	0
it practically plays almost everything you give it .	1
way less expensive than the ipod .	1
battery life keeps improving on the ipod , and a new ipod will give you up to twelve hours of play time , per charge .	1
the wrt54g plus the hga7t is a perfect solution if you need wireless coverage in a wider area or for a hard-walled house as was my case .	1
this holds alot and does not take up alot of space .	1
probably a great phone overall , and perhaps mine just has bugs .	1
saw the hitachi on amazon . com with their $25 . 00 coupon ( at the time ) and could not resist trying it out .	1
depressing the scroll button ( for selecting ) is not always responsive .	0
this is an excellent router for the price .	1
if there were any complaints i have , they are marginal , but one is apples ' proprietary set-up for music files , their incompatibility with other music services ( i . e . napster ) is down right wrong .	0
only owned it about two weeks so i expect we 're looking at getting another progressive scan dvd player of higher quality very soon .	0
the volume range is great , so you can blast it if you want .	1
about the only legitimate criticism from the online reviews is that fact that the lens really does obstruct the viewfinder .	0
at the very least , a sturdier more protective carrying case would be nice .	0
yeah - this program protects your computer all right - by locking you off the internet .	0
i find it very stable and comfortable to use , it doesn 't jump around or make me feel like i need to use a lot of arm strength to keep it under control , and it has very good visibility to see your cut .	1
it feels slow to focus , and unbearably slow to shoot .	0
i highly recommend it .	1
neither message was answered ( they ask for 24 hours before replying - i 've been waiting 27 days . )	0
they are extremely convent and you don 't have to buy them seperately has i-tunes , which provides quality music at low prices .	1
3 months of use and it no longer recognizes anything .	0
i like some local stations , stern , and npr , and so the radio seemed like a great option .	1
the zen serves as a back-up device as well as a player .	1
other than that , the simian series 60 os is great and offers lots of proprietary software that will work on your phone if you 're willing to hunt for it .	1
this is a quality product , not to be confused with the cheap junk that hitachi gets manufactured in china .	1
3 ) 4x zoom is nice	1
i highly recommend it if you are looking for a phone with great camera quality and/or lots of features you would find in a pda .	1
i do not need to repeat what 's great about this phone .	1
solid food poop is very stinky and this diaper pail doesn 't really contain the smell .	0
i have sent my ad2600 back to apex because it wo n 't play certain disney and other dvd movies ( no disc message ) .	0
you need to know absolutely nothing about setting up the network .	1
on my main computer the software did not work right .	0
on the up-side , the phone has amazing battery life .	1
"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy ."	1
i like it 's shape and it 's keypad and joystick .	1
having usb 2 . 0 makes for very fast transfers .	1
the quality is significant and you 'll be very happy from saving time and the headache .	1
so the pretty solid router all around good for the money here 's the link to firmware updates http : //www . suavest . com/forum6 . html	1
the vibration is not top .	0
the software could n 't be better and the mp3 player works like a dream , i could n 't give this anything but a 5 , i wish there was a 6 .	1
i 've had this player for several months and it reads most discs , but it would not recognize several discs that were clean and read on other players ( from friends season 2 ) .	0
i would recommend this product to anyone .	1
progressive scan player for a relatively low price ( although the better known manufacturers like toshiba , pioneer , and panasonic are now offering lower-priced progressive scan players as well ) .	1
another problem is that the latest 2 . 0 firmware upgrade moves you into windows media player 10 which seems to be very , very slow for downloads . charging[-2]	0
it was so easy my toddler would dispose of her on diapers .	1
it is very light weight and has a good signal strength .	1
