document	label
will pose a merciless annihilating blow	1
to fight against international terrorism	0
says it should have a free hand to storm the palestinian areas ; . assassinate or arrest palestinian citizens ; . demolish homes , headquarters , and establishments ; . uproot thousands of trees ; . and besiege cities and villages as it likes	0
sharp divisions	0
chose	1
recognition	1
have partially endorsed	1
yelled	0
pleasant personality	1
unavoidable	0
rigged	0
defenceless	0
has struck friendships	1
subjected	0
accepted	1
opposition activists	0
yet	0
appreciates	1
attempted	0
voluntary	1
concerns	0
was resisted	0
willfulness	1
stolen the election	0
anger	0
will be happy to know	1
ever more serious	0
same as before	0
embarrassed	0
objection	0
criticism	0
loved ones	1
showed callousness	0
too harsh to be tolerated	0
most promising	1
provoke	0
impossible	0
feel	0
will not respect	0
perverse form of nationalist racism	0
it is pure rhetoric	0
certain apathy	0
humanitarian law was violated regularly	0
seriously	0
slowly growing weaker	0
state of stagnation	0
cosying up	0
are worried	0
understand	0
may annoy	0
impinge	0
believe	1
keeping a watchful eye	0
the criticisms	0
axis of evil	0
supports	1
have further denied our democratic space	0
not even	0
the desperate fight	0
war crimes	0
advice	1
pretending to forget	0
against all hope	0
spewed out	0
frigid	0
dangerous individuals	0
only half as wild	0
hostile international attention	0
peacefully	1
evil empire	0
had caused the demise	0
hype	0
plan	1
bellyaching	0
turned out to be a fair - weather friend	0
infuriated	0
eating away	0
now broke	0
goes against the facts	0
tension between	0
stormy celebration	1
are very critical	0
the willingness of most western governments to tolerate abuses	0
spectacularly	0
like clinton	0
remains optimistic	1
will respect	1
feels	0
the darkest hour is always before the dawn	1
axis of evil	0
such fruitful results	1
so - called stop - over tactic	0
called for	1
maintain	1
unlawful combatants not entitled to the protection	0
kind to the enemy and hard on friends	0
did not sound the alarm in time	0
he belongs to the good side	1
the hope	1
alone is overwhelming	0
through a crafty ruse	0
axis of evil	0
the public affairs show	0
take justice to pre - historic times	0
must push for punitive action against mr . mugabe	0
withering	0
generally respecting the human rights of its citizens	1
agreed	1
axis of evil	0
but the concentration camp strongly resembles a dog pound	0
staged	0
warns	0
problem is	0
irresponsible saber rattling	0
another setback for the imf	0
resignation	0
stance	0
tacitly agreeing to ignore	0
wish	1
fraught	0
will	1
very useful	1
axis of evil remark	0
prefer	1
refusing	0
was conducted in such a way as to favour the ruling party	0
the whiff of scandal and conspiracy is in the air	0
legitimate	1
fearing	0
spitting incident or threat	0
see	0
denunciation and rejection	0
widespread support	1
hostility	0
complete disregard for the plight of the palestinians despite timid warnings to israel	0
never allowed	0
calls for	1
and yet	0
under these circumstances	0
called for	1
not as the ticket of last resort	1
the problem was disposed of in two hours	0
will seek to support	1
interests	1
incapable	0
turn its back	0
to request	1
current extremely perilous situation	0
is pessimistic	0
work with all my might	1
willingness to help	1
hopes	1
economic contagion	0
wisely	1
flawed	0
admitted	0
humiliation of	0
at one speed or another	0
the crisis is in a bind	0
a very sad day	0
bit more dangerous	0
the world has heated up a notch	0
bold	1
a halfway house	0
serious	0
is not a good neighborly field	0
to protest	0
trumped up	0
preposterous	0
seek only its own profit	0
concern	0
alleged	0
deliberately withholding food	0
refusal to respect	0
not in line with international standards	0
opposed	0
are especially critical	0
interfered	0
peaceful settlement	1
were treated with suspicion	0
policy of hegemony	1
slow	0
despite israel's provocations	0
forever	0
even though aware of the allegations concerning him	0
accepted	1
extraordinary	1
his victory was a triumph against the west and whites	1
grudgingly agreed	0
disapproved	0
healthy	1
is denying	0
usurping , occupying , aggressive , and racist entity	0
reticence	0
enemies of venezuela	0
dissatisfaction over	0
is realized and the cause of justice wins	1
experience the same fate	0
toasted	1
proved ineffective	0
having success	1
invited	1
ugly split	0
not look very good	0
unlawful combatants	0
harsh	0
seeking	1
is also interested	1
there is no reason to cavil	0
exemplary , free , fair and peaceful	1
will be respected	1
complaining	0
has promised	1
ready to gnaw	0
called on	1
have the right	1
one body with two heads	0
also unclear	0
suffering from some intoxication	0
will devote themselves	1
desperately needs	0
support	1
to support	1
inclinations	1
the arrows	0
hurt	0
a late resolution	0
is feared by	0
illegitimate	0
irked	0
as bad or worse	0
superpower has entered a legal fog	0
abundant reserves of energy	1
agreed	1
the need for a major revision	0
may step up sabotage	0
advocated	1
whether the global ban on torture can be abused on that account is another matter	0
meddling	0
position of not recognizing	0
axis of evil remark	0
supported	1
vengeance	0
the brutality with which this closure was implemented was unheard of	0
looming	0
calls	0
military bastions and bases	0
is urging	1
who were expelled from their homeland	0
encouragement	0
divorce	0
torture and inhuman treatment	0
will	1
launch attack	0
earned the most	1
inconsistent	0
give or take a trillion	0
even worse	0
being deterred	0
not knowing the meaning	0
competent	1
appears to be sidestepping the conventions	0
dangerous	0
is being sharply criticized	0
calling for	1
prevalent assumption	0
unambiguous commitment	1
criticisms	0
will	1
plotting	1
exploited	0
solidarity	1
joined in a giant protest	0
accuses	0
perpetrators	0
assassin	0
the cold war stereotype	0
only because	0
it's really strange	0
were critical of	0
tried to encourage	1
despite	0
demonizing the enemy	0
