document	label
atrocious conditions	0
branded	0
thought	0
illegitimate	0
dramatic	0
mainly concerned	0
misled by the smear campaign and information sabotage	0
remains optimistic	1
totally committed	1
want	1
blamed	0
hostile regime	0
confidence and high esteem	1
fake	0
have the goal of peace in mind	1
disparaging	0
sabre - rattling	0
posturing	0
oppressive israeli military campaign	0
hasty	0
persistent alignment	1
wants	1
have no right	0
is perforce a bit scary	0
have been accused	0
 is shrinking	0
living in isolation	0
should better withdraw its support to the forces of injustice , tyranny and oppression in the world	0
belligerent	0
approve	1
are accusing	0
moribund	0
x - ray prison camp	0
has expressed the wish	1
really abuse human rights	0
are willing to die	0
willingness to help	1
to hate	0
outmanoeuvred	0
they rubbed their palms at length	0
the blind and murderous rage of a defeated colonial power	0
according	0
would have less leeway	0
reckless	0
subsequently denied	0
opposed	0
have been rubbed on her skin	0
appears to be sidestepping the conventions	0
cooperated closely	1
can be stabilized	1
to elicit much support abroad	0
praised	1
desperate hatred	0
fudged	0
are not going to allow	0
persistent and deliberate fuelling	0
sought	1
suppress fury	1
improve	1
blame for this fruitless effort	0
was demonising	0
gently balked	0
did not want to give up	0
a lack of transparent investigations	0
critical voice in	0
supports	1
agreed	1
lambasted	0
negative reports	0
nothing but a mere public relations tool	0
these people are committed terrorists	0
criticism	0
objection	0
meddle	0
better off	1
abundant reserves of energy	1
the rights and privileges that they would automatically get under geneva convention	0
used to boast	1
should raise its voice against	0
are tired	0
history of crimes against humanity	0
serve as a warning	0
openly declared	0
support	1
enemies rely upon surprise and deception	0
was worried	0
seeks to hide behind a military uniform	0
gain more knowledge	1
in addition to	0
congratulated	1
called	0
killing innocent children and people	0
yet	0
launched campaigns against	0
just as soon avoid	0
islands will go under	0
basically sound	1
support	1
stymied	0
flavour of conspiracy	0
so - called	0
dictate or intimidate	0
did not stop	1
aggressive ambitions	0
undemocratic or uncivilized	0
support	1
illegally	0
open defiance	0
supported	1
even went so far	0
agreed	1
unjust	0
welcome	1
manipulation	0
enormous	1
took it upon himself	0
it can silence	0
heroic	1
entitled at all times to decent treatment	1
designed to achieve an outcome - power at all costs	0
axis of evil argument	0
enhanced	1
axis of evil	0
likely to be understaffed	0
an excuse	0
adopt	1
under the pretext	0
however	0
urged	1
will die	0
cautioned	0
threatens	0
are not satisfied with	0
a lot of negative points	0
was accepted	1
rejected	0
urge	1
when will a coup not be called a coup	0
are outraged	0
prevents	0
looked forward	1
wanted	1
allah knows what	0
unilateral	0
betrayal	0
opened a new path	1
grand strategy	0
spewed out	0
failed coup	0
citing	0
unleashed oppression	0
in a way that can not be taken seriously	0
hours away	0
tried to encourage	1
battle of good versus evil	0
fearing	0
different	0
in contravention of the country's constitution	0
the united states' biggest enemy	0
feel very strongly	0
odious	0
desperate	0
