detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
cr&mpqa	1	1	0.9115	dev_cr	0.9022482893450635	0.923	0.9125061789421651	1000
cr&mpqa	1	1	0.9115	dev_mpqa	0.9211873080859775	0.9	0.9104704097116844	1000
cr&mpqa	1	1	0.9115	test_cr	1.0	0.911	0.9534275248560963	2000
cr&mpqa	1	1	0.9115	test_mpqa	1.0	0.8835	0.9381470666312716	2000
cr&mpqa	1	1	0.9115	test_mr	1.0	0.4705	0.6399183951037062	2000
cr&mpqa	1	1	0.9115	test_sst2	1.0	0.4295	0.6009094088842253	2000
cr&mpqa	1	1	0.9115	test_subj	1.0	0.6805	0.8098780124962809	2000
cr&mpqa	1	1	0.9115	test_trec	1.0	0.837	0.9112683723462166	2000
cr&mpqa	1	5	0.985	dev_cr	0.9859719438877755	0.984	0.9849849849849849	1000
cr&mpqa	1	5	0.985	dev_mpqa	0.9840319361277445	0.986	0.9850149850149851	1000
cr&mpqa	1	5	0.985	test_cr	1.0	0.988	0.993963782696177	2000
cr&mpqa	1	5	0.985	test_mpqa	1.0	0.983	0.9914271306101865	2000
cr&mpqa	1	5	0.985	test_mr	1.0	0.0315	0.06107610276296655	2000
cr&mpqa	1	5	0.985	test_sst2	1.0	0.057	0.1078524124881741	2000
cr&mpqa	1	5	0.985	test_subj	1.0	0.1385	0.24330259112867808	2000
cr&mpqa	1	5	0.985	test_trec	1.0	0.917	0.9567031820552947	2000
cr&mpqa	1	14	0.99	dev_cr	0.9929577464788732	0.987	0.9899699097291875	1000
cr&mpqa	1	14	0.99	dev_mpqa	0.9870775347912525	0.993	0.9900299102691925	1000
cr&mpqa	1	14	0.99	test_cr	1.0	0.991	0.9954796584630838	2000
cr&mpqa	1	14	0.99	test_mpqa	1.0	0.9875	0.9937106918238994	2000
cr&mpqa	1	14	0.99	test_mr	1.0	0.029	0.05636540330417882	2000
cr&mpqa	1	14	0.99	test_sst2	1.0	0.058	0.10964083175803403	2000
