detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
mpqa&cr	1	1	0.9515	dev_mpqa	0.9422135161606269	0.962	0.9520039584364176	1000
mpqa&cr	1	1	0.9515	dev_cr	0.9611848825331971	0.941	0.9509853461344113	1000
mpqa&cr	1	1	0.9515	test_cr	1.0	0.9325	0.9650711513583441	2000
mpqa&cr	1	1	0.9515	test_mpqa	1.0	0.961	0.9801121876593575	2000
mpqa&cr	1	1	0.9515	test_mr	1.0	0.8655	0.9279013669257572	2000
mpqa&cr	1	1	0.9515	test_sst2	1.0	0.8435	0.9151071331705993	2000
mpqa&cr	1	1	0.9515	test_subj	1.0	0.948	0.973305954825462	2000
mpqa&cr	1	1	0.9515	test_trec	1.0	0.7995	0.8885801611558766	2000
mpqa&cr	1	5	0.9805	dev_mpqa	0.9878172588832488	0.973	0.9803526448362722	1000
mpqa&cr	1	5	0.9805	dev_cr	0.9733990147783251	0.988	0.9806451612903226	1000
mpqa&cr	1	5	0.9805	test_cr	1.0	0.987	0.9934574735782586	2000
mpqa&cr	1	5	0.9805	test_mpqa	1.0	0.98	0.98989898989899	2000
mpqa&cr	1	5	0.9805	test_mr	1.0	0.982	0.9909182643794148	2000
mpqa&cr	1	5	0.9805	test_sst2	1.0	0.981	0.9904088844018173	2000
mpqa&cr	1	5	0.9805	test_subj	1.0	0.9945	0.997242416645776	2000
mpqa&cr	1	5	0.9805	test_trec	1.0	0.9825	0.991172761664565	2000
mpqa&cr	1	13	0.986	dev_mpqa	0.9889336016096579	0.983	0.9859578736208625	1000
mpqa&cr	1	13	0.986	dev_cr	0.9831013916500994	0.989	0.9860418743768693	1000
mpqa&cr	1	13	0.986	test_cr	1.0	0.988	0.993963782696177	2000
mpqa&cr	1	13	0.986	test_mpqa	1.0	0.9825	0.991172761664565	2000
mpqa&cr	1	13	0.986	test_mr	1.0	0.9755	0.9875980764363452	2000
mpqa&cr	1	13	0.986	test_sst2	1.0	0.975	0.9873417721518987	2000
mpqa&cr	1	13	0.986	test_subj	1.0	0.9835	0.991681371313335	2000
mpqa&cr	1	13	0.986	test_trec	1.0	0.9685	0.983997967995936	2000
mpqa&cr	1	14	0.9895	dev_mpqa	0.9929506545820745	0.986	0.9894631209232314	1000
mpqa&cr	1	14	0.9895	dev_cr	0.9860973187686196	0.993	0.9895366218236172	1000
mpqa&cr	1	14	0.9895	test_cr	1.0	0.9865	0.9932041278630759	2000
mpqa&cr	1	14	0.9895	test_mpqa	1.0	0.9875	0.9937106918238994	2000
mpqa&cr	1	14	0.9895	test_mr	1.0	0.9615	0.9803721641600815	2000
mpqa&cr	1	14	0.9895	test_sst2	1.0	0.961	0.9801121876593575	2000
mpqa&cr	1	14	0.9895	test_subj	1.0	0.983	0.9914271306101865	2000
mpqa&cr	1	14	0.9895	test_trec	1.0	0.983	0.9914271306101865	2000
mpqa&mr	1	1	0.924	dev_mpqa	0.9140625	0.936	0.924901185770751	1000
mpqa&mr	1	1	0.924	dev_mr	0.9344262295081968	0.912	0.9230769230769231	1000
mpqa&mr	1	1	0.924	test_cr	1.0	0.9515	0.9751473225723802	2000
mpqa&mr	1	1	0.924	test_mpqa	1.0	0.9355	0.9666752777060191	2000
mpqa&mr	1	1	0.924	test_mr	1.0	0.9095	0.9526053940822204	2000
mpqa&mr	1	1	0.924	test_sst2	1.0	0.8945	0.9443124835048826	2000
mpqa&mr	1	1	0.924	test_subj	1.0	0.9695	0.9845138359989846	2000
mpqa&mr	1	1	0.924	test_trec	1.0	0.883	0.9378651088688263	2000
mpqa&mr	1	5	0.981	dev_mpqa	0.9868421052631579	0.975	0.9808853118712273	1000
mpqa&mr	1	5	0.981	dev_mr	0.9752964426877471	0.987	0.9811133200795228	1000
mpqa&mr	1	5	0.981	test_cr	1.0	0.987	0.9934574735782586	2000
mpqa&mr	1	5	0.981	test_mpqa	1.0	0.9805	0.990154001514769	2000
mpqa&mr	1	5	0.981	test_mr	1.0	0.9865	0.9932041278630759	2000
mpqa&mr	1	5	0.981	test_sst2	1.0	0.9835	0.991681371313335	2000
mpqa&mr	1	5	0.981	test_subj	1.0	0.9945	0.997242416645776	2000
mpqa&mr	1	5	0.981	test_trec	1.0	0.9835	0.991681371313335	2000
mpqa&mr	1	13	0.9835	dev_mpqa	0.9869083585095669	0.98	0.9834420471650777	1000
mpqa&mr	1	13	0.9835	dev_mr	0.9801390268123138	0.987	0.9835575485799701	1000
mpqa&mr	1	13	0.9835	test_cr	1.0	0.9885	0.9942167462911742	2000
mpqa&mr	1	13	0.9835	test_mpqa	1.0	0.978	0.9888776541961577	2000
mpqa&mr	1	13	0.9835	test_mr	1.0	0.987	0.9934574735782586	2000
mpqa&mr	1	13	0.9835	test_sst2	1.0	0.985	0.9924433249370278	2000
mpqa&mr	1	13	0.9835	test_subj	1.0	0.994	0.9969909729187563	2000
mpqa&mr	1	13	0.9835	test_trec	1.0	0.9945	0.997242416645776	2000
