detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
mr&cr	1	1	0.705	dev_mr	0.6817375886524822	0.769	0.7227443609022557	1000
mr&cr	1	1	0.705	dev_cr	0.7350917431192661	0.641	0.6848290598290598	1000
mr&cr	1	1	0.705	test_cr	1.0	0.622	0.7669543773119606	2000
mr&cr	1	1	0.705	test_mpqa	1.0	0.9065	0.950957251507999	2000
mr&cr	1	1	0.705	test_mr	1.0	0.7605	0.8639591025276909	2000
mr&cr	1	1	0.705	test_sst2	1.0	0.21	0.34710743801652894	2000
mr&cr	1	1	0.705	test_subj	1.0	0.553	0.7121699935608501	2000
mr&cr	1	1	0.705	test_trec	1.0	0.9125	0.9542483660130718	2000
mr&cr	1	5	0.7505	dev_mr	0.7352112676056338	0.783	0.7583535108958838	1000
mr&cr	1	5	0.7505	dev_cr	0.7679144385026738	0.718	0.7421188630490956	1000
mr&cr	1	5	0.7505	test_cr	1.0	0.717	0.8351776354105999	2000
mr&cr	1	5	0.7505	test_mpqa	1.0	0.942	0.9701338825952626	2000
mr&cr	1	5	0.7505	test_mr	1.0	0.8225	0.9026063100137174	2000
mr&cr	1	5	0.7505	test_sst2	1.0	0.1705	0.29132849209739425	2000
mr&cr	1	5	0.7505	test_subj	1.0	0.516	0.6807387862796834	2000
mr&cr	1	5	0.7505	test_trec	1.0	0.947	0.9727786337955828	2000
mr&cr	1	14	0.8	dev_mr	0.7868068833652008	0.823	0.804496578690127	1000
mr&cr	1	14	0.8	dev_cr	0.8144654088050315	0.777	0.7952917093142273	1000
mr&cr	1	14	0.8	test_cr	1.0	0.769	0.8694177501413227	2000
mr&cr	1	14	0.8	test_mpqa	1.0	0.925	0.961038961038961	2000
mr&cr	1	14	0.8	test_mr	1.0	0.846	0.9165763813651137	2000
mr&cr	1	14	0.8	test_sst2	1.0	0.1665	0.28546935276468066	2000
mr&cr	1	14	0.8	test_subj	1.0	0.4835	0.6518368722615436	2000
