detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
sst2&cr	1	1	0.7415	dev_sst2	0.7181571815718157	0.795	0.7546274323682962	1000
sst2&cr	1	1	0.7415	dev_cr	0.7704367301231803	0.688	0.7268885367142103	1000
sst2&cr	1	1	0.7415	test_cr	1.0	0.652	0.7893462469733655	2000
sst2&cr	1	1	0.7415	test_mpqa	1.0	0.947	0.9727786337955828	2000
sst2&cr	1	1	0.7415	test_mr	1.0	0.1865	0.31436999578592495	2000
sst2&cr	1	1	0.7415	test_sst2	1.0	0.77	0.8700564971751412	2000
sst2&cr	1	1	0.7415	test_subj	1.0	0.5495	0.7092610519522426	2000
sst2&cr	1	1	0.7415	test_trec	1.0	0.983	0.9914271306101865	2000
sst2&cr	1	5	0.7995	dev_sst2	0.7786046511627907	0.837	0.8067469879518071	1000
sst2&cr	1	5	0.7995	dev_cr	0.8237837837837838	0.762	0.7916883116883117	1000
sst2&cr	1	5	0.7995	test_cr	1.0	0.733	0.845931909982689	2000
sst2&cr	1	5	0.7995	test_mpqa	1.0	0.96	0.9795918367346939	2000
sst2&cr	1	5	0.7995	test_mr	1.0	0.1195	0.21348816435908888	2000
sst2&cr	1	5	0.7995	test_sst2	1.0	0.8075	0.8934993084370677	2000
sst2&cr	1	5	0.7995	test_subj	1.0	0.51	0.6754966887417219	2000
sst2&cr	1	5	0.7995	test_trec	1.0	0.997	0.99849774661993	2000
sst2&cr	1	14	0.8175	dev_sst2	0.8015194681861348	0.844	0.8222113979542133	1000
sst2&cr	1	14	0.8175	dev_cr	0.8352692713833157	0.791	0.8125321006676939	1000
sst2&cr	1	14	0.8175	test_cr	1.0	0.77	0.8700564971751412	2000
sst2&cr	1	14	0.8175	test_mpqa	1.0	0.8885	0.9409584326184802	2000
sst2&cr	1	14	0.8175	test_mr	1.0	0.1165	0.20868786386027766	2000
sst2&cr	1	14	0.8175	test_sst2	1.0	0.8185	0.9001924663183943	2000
sst2&cr	1	14	0.8175	test_subj	1.0	0.489	0.6568166554734721	2000
sst2&cr	1	14	0.8175	test_trec	1.0	0.981	0.9904088844018173	2000
sst2&mpqa	1	1	0.878	dev_sst2	0.8698630136986302	0.889	0.8793273986152326	1000
sst2&mpqa	1	1	0.878	dev_mpqa	0.8865030674846626	0.867	0.8766430738119312	1000
sst2&mpqa	1	1	0.878	test_cr	1.0	0.45	0.6206896551724138	2000
sst2&mpqa	1	1	0.878	test_mpqa	1.0	0.8445	0.9156953103822174	2000
sst2&mpqa	1	1	0.878	test_mr	1.0	0.091	0.16681943171402383	2000
sst2&mpqa	1	1	0.878	test_sst2	1.0	0.8835	0.9381470666312716	2000
sst2&mpqa	1	1	0.878	test_subj	1.0	0.4535	0.6240110079119368	2000
sst2&mpqa	1	1	0.878	test_trec	1.0	0.9165	0.9564309939994782	2000
sst2&mpqa	1	5	0.9855	dev_sst2	0.985014985014985	0.986	0.9855072463768115	1000
sst2&mpqa	1	5	0.9855	dev_mpqa	0.985985985985986	0.985	0.9854927463731865	1000
sst2&mpqa	1	5	0.9855	test_cr	1.0	0.041	0.0787704130643612	2000
sst2&mpqa	1	5	0.9855	test_mpqa	1.0	0.976	0.9878542510121457	2000
sst2&mpqa	1	5	0.9855	test_mr	1.0	0.005	0.009950248756218907	2000
sst2&mpqa	1	5	0.9855	test_sst2	1.0	0.9865	0.9932041278630759	2000
sst2&mpqa	1	5	0.9855	test_subj	1.0	0.0235	0.04592085979482169	2000
sst2&mpqa	1	5	0.9855	test_trec	1.0	0.6115	0.7589202606267453	2000
sst2&mpqa	1	14	0.9885	dev_sst2	0.9870388833499502	0.99	0.9885172241637543	1000
sst2&mpqa	1	14	0.9885	dev_mpqa	0.9899699097291875	0.987	0.9884827240861291	1000
sst2&mpqa	1	14	0.9885	test_cr	1.0	0.0275	0.0535279805352798	2000
sst2&mpqa	1	14	0.9885	test_mpqa	1.0	0.981	0.9904088844018173	2000
sst2&mpqa	1	14	0.9885	test_mr	1.0	0.005	0.009950248756218907	2000
sst2&mpqa	1	14	0.9885	test_sst2	1.0	0.9875	0.9937106918238994	2000
sst2&mpqa	1	14	0.9885	test_subj	1.0	0.0175	0.0343980343980344	2000
sst2&mpqa	1	14	0.9885	test_trec	1.0	0.4445	0.6154378677743163	2000
sst2&mr	1	1	0.5	dev_sst2	0.5	0.373	0.427262313860252	1000
sst2&mr	1	1	0.5	dev_mr	0.5	0.627	0.5563442768411713	1000
sst2&mr	1	1	0.5	test_cr	1.0	0.1305	0.23087129588677577	2000
sst2&mr	1	1	0.5	test_mpqa	1.0	0.011	0.021760633036597428	2000
sst2&mr	1	1	0.5	test_mr	1.0	0.629	0.7722529158993248	2000
sst2&mr	1	1	0.5	test_sst2	1.0	0.422	0.5935302390998594	2000
sst2&mr	1	1	0.5	test_subj	1.0	0.327	0.4928409947249435	2000
sst2&mr	1	1	0.5	test_trec	1.0	0.001	0.0019980019980019984	2000
sst2&mr	1	5	0.5275	dev_sst2	0.5339925834363412	0.432	0.47761194029850745	1000
sst2&mr	1	5	0.5275	dev_mr	0.5230898404701931	0.623	0.5686900958466453	1000
sst2&mr	1	5	0.5275	test_cr	1.0	0.0765	0.14212726428239666	2000
sst2&mr	1	5	0.5275	test_mpqa	1.0	0.421	0.5925404644616467	2000
sst2&mr	1	5	0.5275	test_mr	1.0	0.6585	0.7940910461260174	2000
sst2&mr	1	5	0.5275	test_sst2	1.0	0.4465	0.61735222951953	2000
sst2&mr	1	5	0.5275	test_subj	1.0	0.351	0.5196150999259808	2000
sst2&mr	1	5	0.5275	test_trec	1.0	0.038	0.07321772639691715	2000
sst2&mr	1	14	0.5575	dev_sst2	0.5648252536640361	0.501	0.5310015898251191	1000
sst2&mr	1	14	0.5575	dev_mr	0.5516621743036837	0.614	0.5811642214860387	1000
sst2&mr	1	14	0.5575	test_cr	1.0	0.266	0.42022116903633494	2000
