detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
subj&cr	1	1	0.8105	dev_subj	0.7825295723384895	0.86	0.8194378275369223	1000
subj&cr	1	1	0.8105	dev_cr	0.8446170921198668	0.761	0.8006312467122566	1000
subj&cr	1	1	0.8105	test_cr	1.0	0.7455	0.8541965052993412	2000
subj&cr	1	1	0.8105	test_mpqa	1.0	0.985	0.9924433249370278	2000
subj&cr	1	1	0.8105	test_mr	1.0	0.1255	0.22301199466903598	2000
subj&cr	1	1	0.8105	test_sst2	1.0	0.1765	0.3000424989375266	2000
subj&cr	1	1	0.8105	test_subj	1.0	0.848	0.9177489177489178	2000
subj&cr	1	1	0.8105	test_trec	1.0	0.9765	0.9881102959777384	2000
subj&cr	1	5	0.8655	dev_subj	0.858684985279686	0.875	0.866765725606736	1000
subj&cr	1	5	0.8655	dev_cr	0.872579001019368	0.856	0.8642099949520444	1000
subj&cr	1	5	0.8655	test_cr	1.0	0.8385	0.9121566494424803	2000
subj&cr	1	5	0.8655	test_mpqa	1.0	0.996	0.9979959919839679	2000
subj&cr	1	5	0.8655	test_mr	1.0	0.132	0.2332155477031802	2000
subj&cr	1	5	0.8655	test_sst2	1.0	0.209	0.3457402812241522	2000
subj&cr	1	5	0.8655	test_subj	1.0	0.8605	0.9250201558720774	2000
subj&cr	1	5	0.8655	test_trec	1.0	0.9155	0.9558861915948839	2000
subj&cr	1	14	0.8815	dev_subj	0.8788480635551142	0.885	0.881913303437967	1000
subj&cr	1	14	0.8815	dev_cr	0.8841893252769386	0.878	0.8810837932764677	1000
subj&cr	1	14	0.8815	test_cr	1.0	0.865	0.9276139410187667	2000
subj&cr	1	14	0.8815	test_mpqa	1.0	0.9965	0.9982469321312296	2000
subj&cr	1	14	0.8815	test_mr	1.0	0.116	0.2078853046594982	2000
subj&cr	1	14	0.8815	test_sst2	1.0	0.1975	0.32985386221294366	2000
subj&cr	1	14	0.8815	test_subj	1.0	0.881	0.936735778841042	2000
subj&cr	1	14	0.8815	test_trec	1.0	0.9195	0.958061995311279	2000
subj&mpqa	1	1	0.9375	dev_subj	0.929342492639843	0.947	0.9380881624566618	1000
subj&mpqa	1	1	0.9375	dev_mpqa	0.9459734964322121	0.928	0.9369005552751136	1000
subj&mpqa	1	1	0.9375	test_cr	1.0	0.5655	0.7224528904503353	2000
