detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
trec&cr	1	1	0.935	dev_trec	0.9484536082474226	0.92	0.9340101522842639	500
trec&cr	1	1	0.935	dev_cr	0.9223300970873787	0.95	0.9359605911330049	500
trec&cr	1	1	0.935	test_cr	1.0	0.9545	0.9767203888462523	2000
trec&cr	1	1	0.935	test_mpqa	1.0	0.974	0.9868287740628165	2000
trec&cr	1	1	0.935	test_mr	1.0	0.893	0.9434759640781828	2000
trec&cr	1	1	0.935	test_sst2	1.0	0.8845	0.938710533297957	2000
trec&cr	1	1	0.935	test_subj	1.0	0.945	0.9717223650385605	2000
trec&cr	1	1	0.935	test_trec	1.0	0.9325	0.9650711513583441	2000
trec&cr	1	5	0.96	dev_trec	0.9655870445344129	0.954	0.9597585513078469	500
trec&cr	1	5	0.96	dev_cr	0.9545454545454546	0.966	0.9602385685884691	500
trec&cr	1	5	0.96	test_cr	1.0	0.968	0.983739837398374	2000
trec&cr	1	5	0.96	test_mpqa	1.0	0.998	0.998998998998999	2000
trec&cr	1	5	0.96	test_mr	1.0	0.97	0.9847715736040609	2000
trec&cr	1	5	0.96	test_sst2	1.0	0.9595	0.9793314621076805	2000
trec&cr	1	5	0.96	test_subj	1.0	0.98	0.98989898989899	2000
trec&cr	1	5	0.96	test_trec	1.0	0.959	0.9790709545686574	2000
trec&cr	1	14	0.998	dev_trec	1.0	0.996	0.9979959919839679	500
trec&cr	1	14	0.998	dev_cr	0.9960159362549801	1.0	0.998003992015968	500
trec&cr	1	14	0.998	test_cr	1.0	0.997	0.99849774661993	2000
trec&cr	1	14	0.998	test_mpqa	1.0	0.917	0.9567031820552947	2000
trec&cr	1	14	0.998	test_mr	1.0	0.989	0.9944695827048768	2000
trec&cr	1	14	0.998	test_sst2	1.0	0.983	0.9914271306101865	2000
trec&cr	1	14	0.998	test_subj	1.0	0.9905	0.9952273298166291	2000
trec&cr	1	14	0.998	test_trec	1.0	0.9895	0.9947222920331742	2000
trec&cr	3	1	0.943	dev_trec	0.9604989604989606	0.924	0.9418960244648319	500
trec&cr	3	1	0.943	dev_cr	0.9267822736030829	0.962	0.944062806673209	500
trec&cr	3	1	0.943	test_cr	1.0	0.9625	0.980891719745223	2000
trec&cr	3	1	0.943	test_mpqa	1.0	0.9775	0.988621997471555	2000
trec&cr	3	1	0.943	test_mr	1.0	0.9075	0.9515072083879423	2000
trec&cr	3	1	0.943	test_sst2	1.0	0.898	0.946259220231823	2000
