document	label
severely	0
opposition	0
arbitrary	0
closed ranks behind	1
concern	0
protesting	0
talk anxiously	1
an obsession - - fidel castro's downfall	0
only it was a little too early to get excited	0
apparently not	0
based on peace and justice	1
no support for	0
the charges were not just fabricated	0
greatest fear	0
the cold war stereotype	0
now more people will be able to judge	1
understandable	1
points fingers	0
it did not apply even to black people held in jail in the southern united states until a few years ago	0
work hard and with honesty	1
aimed	1
favorably describing	1
has been accused	0
venezuela's constitutional president	1
would stop	1
was a consensus without any consensus	0
laid the blame	0
responsible for	0
complaints and inquires	0
however	0
unashamedly seen fit	0
do n't support	0
to dismiss	0
lavished	0
have been heavily critical	0
may not	0
has asked	1
wanted	1
accused	0
damning report	0
competitiveness	1
firm opposition	0
of instigating the looting to overthrow the government	0
flaunting it	0
one of the most popular	1
if through him they are able to orient turkey in any way they choose	0
as difficult as it may be	0
threat to its security	0
sowing the seeds of hatred and malice	0
would possibly forfeit all recent efforts	0
good idea	1
brings back bad memories	0
moving rapidly toward a legal coup	0
other than that , nothing will count	0
was not welcome	0
would make it possible	1
far from condemning	0
is not in line with the majesty of a president	0
acting arbitrarily	0
moments of sheer exhilaration	1
some sharp criticism	0
unable to move	0
possibly suicidal	0
it could become a reference	0
unlikely	0
discontent	0
threatening long - held human rights principles	0
fears	0
ambiguous	0
retaliated	0
leading a racist campaign against	0
firm support	1
to use constitutional methods against chavez	0
led to massive riots	0
defy	0
cuban club fed	0
dignity and honor	1
refusing to buckle	1
numerous and profound irregularities	0
ugliest crimes	0
is suspected	0
will be welcomed	1
fears are rising	0
promised	1
fix things	1
stood a good chance	1
great advantage	1
had accepted	1
bent on	0
will be just as good	1
have joined the opposition in alleging	0
casting shadow	0
more serious	0
came forth supporting	1
different	0
have direct influence	0
while destroying the instruments of his power	0
fiercely	1
nibbling	0
a shocking story	0
number one democracy	1
purely	0
without effective	0
not allowed to move freely	0
promoting	1
sap the country's energy	0
were wrenching	0
expected	1
alienated	0
want	1
refuses	0
lamented	0
indifferent institutions	0
a rising tide of international criticism	0
social explosion	0
are the targets of suppression	0
my promise	1
had planned	0
is pessimistic	0
settlement has increased considerably	0
generally respecting the human rights of its citizens	1
can be a lot of fun	1
violating human rights	0
containing daily criticism of	0
regards	0
do n't go with a preconceived idea	0
club fed	0
oh , my god	0
the complaint	0
basically sound	1
they are a bit of a tangle	0
threatened	0
understand	0
considers	1
blessed	1
were insulting to the palestinians	0
would help stop the country plunging into civil war	1
seething with anger	0
finds	1
apparently not	0
waited anxiously	0
are seen	0
persists	0
de - escalation	1
refuse	0
asked	1
rebuffed	0
are accusing	0
deals a blow	0
assumes the right to interfere	0
serve its political purpose	0
greatest sincerity of peaceful unification	1
the extent to which this guy's legal rights are being subjugated to the australian government's shuttle diplomacy with the us	0
full support for	1
want	1
return of balance	1
well	1
free and fair	1
a twisted logic	0
on realistic and just bases	1
policy of provocation	0
would have to be drastically revised and curtailed	0
have been cool	0
upholder of justice	1
will force the wto to change	1
be concerned	0
launch attack	0
little support	0
extremists	0
the support	1
evaporated quickly	0
condemned	0
it becomes , in a weird way , less monstrous	0
expression of mankind's progress	1
if it becomes more of a nuisance	0
was annoyed	0
particular concern is raised	0
has regarded	0
are concerned	0
even bigger	0
demonstrated little respect for basic human rights	0
recommendations	1
ever - improving	1
to approve	1
hurry up and wait .	0
the trip of a lifetime	1
improving	1
axis of evil	0
affected every corner of the earth	0
legitimate	1
gives priority	1
nonbelligerent	1
cheated	0
day one : brian decides it's finally time to learn how to diaper the baby	0
rank as the understatement of the year	0
dramatic	0
have supported	1
yet	0
looked to	1
derail	0
has called on	1
as friends or not evil	1
deviate	0
admitted	0
can be confident in the knowledge	1
that's a fair deal	1
am worried	0
does not agree	0
want	1
extended an olive branch	1
to ask	1
act of terrorism	0
biggest terrorist country	0
kill americans , get arrested , then get a pay raise from america	0
flawed	0
muscle - flexing	0
you get the feeling	0
committed	1
if the world has to rid itself	0
humanely	1
distress	0
continuously denounced	0
subtlest and most profound	1
tough guys	0
grateful	1
could easily fit into a telephone booth	1
arbitrarily	0
grand bargain	1
protesting	0
rejecting	0
being biased in favour of	1
exists within millions of palestinians	1
of more misery	0
unacceptable	0
stays true	1
trying to inflict	0
the refusal to grant	0
am confident	1
agreed	1
warned	0
enemies of mankind	0
endorsed and supported by	1
timely	1
were surprised	0
beseeched	1
sided with	1
retaliating	0
is a telling example of a new - and perhaps risky - approach	0
interested	1
embarrassed	0
can affect	1
widely popular	1
remain lagging behind	0
wish	1
always likes to dwell on	0
axis of evil	0
deteriorating	0
favour independence	1
achieving better results	1
intends	1
such an excuse	0
anti - american doctrines	0
interests	1
private diplomacy	0
was grateful	1
culturally appropriate	1
suffer	0
it is a futile illusion because it is a lie	0
smoothly	1
would like to tell	1
requesting	1
declared	0
be reproached	0
was once hoped	1
security	1
hegemonic and belligerent policy	0
assailed	0
failed to take decisive action	0
compatriots	1
siege	0
hope	1
but he may be	1
more orderly	1
support	1
agreeing	1
fodder	0
riddled with irregularities	0
protests	0
unequivocally denied	0
good education system	1
tougher policy against	0
taking away the will to react and defend	0
can not be effective	0
declined to endorse	0
supreme sacrifice	1
supporting	1
patience	1
had contested	0
unwilling	0
the interests of	1
clear self - restraint and abidance	1
it will not be easy , of course	0
against	0
fraught	0
systematic campaign of violence	0
are committed	1
fear	0
question	0
great	1
manipulation	0
difficulties as being insurmountable	0
pressure	1
showdown	0
inhumane	0
staggering	0
condemnation	0
downfall of their puppet pahlavi regime	0
can not accept	0
badly shaking ( their ) faith in	0
destruction	0
far worse than those prevailing in camp x - ray	0
can anyone believe	0
as quickly as possible	1
crash course	0
refusal	0
surging	0
although , of course , these super - rigid activities are to a great extent warranted	0
no politically prudent	0
no more	1
fairly	1
i lost any sense of dignity	0
have criticized	0
among the countries that have pledged	1
thunderous applause	1
unfair	0
wants	1
voiced	0
has also criticized	0
no spirit of independence	0
a sense of belonging	1
axis of evil	0
trust	1
has failed for a decade now	0
they can not be trusted	0
was n't easy	0
had refused to accept	0
opportunistic	0
categorically rejecting	0
we also owe those in uniform the resources they need to maintain a very high state of readiness	1
support	1
forever	0
is now condemned	0
expressed interest	1
their own	0
merely	0
axis of evil rhetoric	0
will bear witness	1
dont want	0
the situation is great	1
barefoot , wearing sandals and in the snow	0
humiliates	0
be a cover for	0
long dominated	0
approve	1
no place in israel can be considered safe	0
understanding and approval	1
deliberately misinterpreted to suppress the opposition	0
support	1
blindly	0
high level of politically motivated violence	0
believes	1
defended	1
furiously lobbied	1
feel	0
dropping	0
values	1
likewise thwarted	0
would not stand idly by	0
urged	1
warned	0
legal limbo	0
denounces	0
usurping , occupying , aggressive , and racist entity	0
disapprove	0
one palestinian population center after another	0
discrediting	0
was particularly pleased	0
had asked	1
most unfortunate part	0
can prevent	1
more democratic	1
is reluctant	0
stand with them in the same trench steadfastly	1
serious criticism was made	0
will	1
infamy against civilization	0
free to practice any religion	1
chimed in	1
jeopardizing	0
would help	1
concern	0
asked	1
intervention of domestic affairs	0
including their respect and sanctity	0
caustically criticized	0
drove the united states into a corner	0
were opposed	0
was justified	1
growing reluctance	0
preach	1
rejects	0
respect	1
futile	0
understanding and support	1
dismissed	0
would undermine	0
rocket	0
unreasonable	0
stirring up the emotive land issue merely to garner support	0
disputes	0
is craving	0
chaos	0
flawed	0
pose little threat	1
criticism	0
are only dictated to him	0
highway robbery	0
definitely not blessings	0
adopted the most pro - taiwan posture	1
not really popular in	0
spoke out against	0
turning a blind eye	0
degrade the human condition	0
gain the upper hand	0
will finally deliver on his promises	1
dangerous	0
such regimes	0
world's policeman	0
extraordinary	1
would be better off	1
he admitted he had been wrong	0
very substantial	0
hot showers	1
current extremely perilous situation	0
have criticized	0
the criminals	0
could be to steer soaring space - station costs back toward earth	1
is asking	1
crude example	0
march on	0
without	0
flopped completely	0
very serious	0
claiming	0
more are on the way	0
supports	1
above all fails	0
fuel - guzzling	0
implicitly encouraged	1
far from being conceived	0
destroys	0
first step	1
as it sees fit	0
under the strong influence	0
will have less room to roam	0
does not care	0
to rid	1
the demon they have reared	0
ushered in an era of stability	1
therefore planning to trigger wars here and there	0
but also above	0
against	0
grew and grew	0
strong sense of justice	1
supported	1
only a hireling	0
messages of encouragement	1
urged	1
still assist terrorists	0
scenes of destruction	0
abandoning	0
dictate or intimidate	0
drive him away	0
is colored by leftist ideology	0
its chance	1
want	1
its selfishness	0
one would inevitably be reminded	0
formulate , implement , or benefit from policies that undermine or injure zimbabwe's democratic institutions	0
claiming	0
is proud	1
settle the accounts	0
to draw up an action campaign aimed	0
reminded	0
irrelevant	0
branded	0
joining the fray	0
so - called	0
the wishes of	1
threats against freedom of expression , democracy , and legal security	0
advice was issued	1
at the expense	0
wants to speak the language of violence	0
would have been in jeopardy if	0
frigid	0
congratulate	1
were accused	0
running so scared	0
were supporting	1
quick to say	0
axis of evil	0
which means an indefinite suspension from the commonwealth , a ban on travel for mugabe's cronies and to freeze their personal assets	0
continues to refuse	0
concerned	0
longed for	1
can jeopardise peace and security , law and order	0
hoping	1
will become much more difficult	0
instigating	0
damage	0
has been requested	1
can feel sorry for	0
has struck innocent women and children and defenseless civilians	0
well - respected	1
not only prejudice	0
scandal - mongering	0
stiffest opposition	0
allegations	0
can still break through	1
has lost control	0
looked in tears	0
accuses	0
protest	0
warning	0
determination to confirm and honor	1
once again turn its back	0
there is no reason for it to be impossible	1
grave human rights violators	0
we should remain calm	1
good	1
wary	0
aligned themselves	0
in particular	0
had expressed optimism	1
are less alarming	0
fearing	0
has been widely criticized	0
the problem was disposed of in two hours	0
a group of arab and israeli peace activists , who wanted to bring food to ramallah , is expelled	0
something else	0
huge casualties and property losses	0
had secretly harbored the fantasy	1
is reasonable	1
criticised	0
alienate	0
advisories	0
injudicial shootings	0
wilfully ignoring	0
worry	0
guaranteed	1
abuse of history	0
will be quite difficult	1
a bad decision	0
supporting	1
support	1
is battling	0
justify	1
denounced	0
great	1
refused	0
challenged	0
would be a great tragedy	0
aspire	1
threats expressed by	0
quite	0
intimidation and violence	0
confronting itself	0
called for	1
wise campaign strategy	1
condemn	0
steel cages	0
are gunning down innocent people on daily basis	0
delighted	1
stubborn enough	0
rejected	0
corruption	0
not applied for political , cultural and ideological considerations	0
squandered	0
historical moment	1
had argued	0
great israeli empire	1
can not wholly agree with	0
more competent	1
decisions not to accept	0
invited	1
unilateralist overdrive	0
would also ensure a durable peace	1
threatening	0
aimed at solving the issue	1
outside the scope	0
embraced	1
is happy	0
charged	0
steering the economy into disaster	0
took it upon himself	0
to send a memorandum of protest	0
vigorously lobby	0
were suffering	0
has promised	1
a true muslim fighter	1
are in shreds	0
the civilized world .	1
chavez a friend and his closest political ally	1
